Liquefied?,Vertical effective Stress (kPa),Site amax (g),Magnitude ,Fines content (%),CPT qc (MPa)
1,68,0.2,8.1,10,4.791
1,61,0.2,8.1,30,1.504
1,39,0.2,8.1,27,0.816
1,48,0.4,7,0,6.895
1,104,0.35,7,4,13.136
1,41,0.09,7.6,5,2.079
1,72,0.16,7.6,2,4.751
1,43,0.16,7.6,8,6.095
1,53,0.162,7.6,5,3.428
0,81,0.18,7.6,2,10.894
0,109,0.18,7.6,2,11.278
1,100,0.16,7.6,2,5.279
1,47,0.16,7.6,0,5.607
0,79,0.18,7.6,0,8.519
1,39,0.16,7.6,10,4.090
0,67,0.18,7.6,0,19.116
0,45,0.242,7.5,36,6.101
1,38,0.213,8.3,3,8.437
0,76,0.23,8.3,5,18.049
0,45,0.23,8.3,5,11.760
1,42,0.23,8.3,5,4.653
1,45,0.2,8.3,20,3.155
1,96,0.45,6.61,55,1.263
1,96,0.45,6.61,50,2.762
1,89,0.2,7,67,2.591
0,92,0.2,7,50,4.487
1,85,0.3,7,48,4.920
1,92,0.3,7,5,4.336
1,86,0.135,7.5,3,3.557
0,71,0.135,7.5,3,10.174
1,54,0.13,7.6,12,5.074
1,53,0.2,7.6,12,4.533
0,38,0.22,7.6,5,11.182
1,32,0.22,7.6,3,3.895
1,59,0.35,7.6,20,8.717
0,75,0.5,7.6,10,15.165
1,67,0.2,7.6,20,4.644
1,106,0.2,7.5,20,2.732
1,156,0.2,7.5,5,3.296
0,39,0.2,7.5,4,7.627
0,44,0.2,7.5,3,6.874
1,56,0.2,7.5,50,2.286
0,67,0.1,6.5,0,7.734
0,71,0.14,6.5,20,4.909
0,45,0.12,6.5,10,2.432
0,59,0.14,6.5,5,7.785
0,79,0.14,6.5,3,7.932
1,30,0.12,6.5,5,4.726
0,42,0.12,6.5,4,5.069
0,85,0.14,6.5,5,5.245
0,60,0.14,6.5,10,3.835
0,56,0.12,6.5,10,3.155
0,63,0.12,6.5,60,0.760
0,47,0.12,6.5,0,8.823
1,67,0.2,7.7,0,7.201
1,71,0.24,7.7,20,6.707
1,45,0.2,7.7,10,2.432
0,57,0.2,7.7,10,9.243
1,59,0.28,7.7,5,5.729
0,73,0.28,7.7,0,11.140
0,65,0.24,7.7,26,7.473
1,79,0.24,7.7,3,5.853
0,39,0.32,7.7,4,13.834
1,30,0.32,7.7,5,4.726
1,42,0.32,7.7,4,5.069
1,85,0.24,7.7,5,5.245
1,60,0.24,7.7,10,3.835
1,56,0.24,7.7,10,3.155
0,78,0.24,7.7,17,11.308
1,63,0.24,7.7,60,0.760
1,47,0.24,7.7,0,8.823
0,70,0.24,7.7,0,16.129
0,42,0.78,6.53,12,15.308
1,50,0.78,6.53,18,1.174
0,56,0.78,6.53,25,6.385
1,32,0.51,6.53,31,1.863
1,50,0.2,6.53,64,0.939
0,38,0.2,6.53,30,5.991
1,20,0.24,6.53,80,1.398
0,54,0.17,6.53,30,3.940
0,57,0.095,6,13,3.307
0,123,0.095,6,27,1.787
0,32,0.09,5.9,31,1.863
1,50,0.2,5.9,64,0.939
0,38,0.2,5.9,30,5.991
0,20,0.21,5.9,80,1.398
0,45,0.21,5.9,18,6.722
1,54,0.26,5.9,30,3.940
0,35,0.168,6.9,5,8.571
0,37,0.15,6.8,5,2.256
0,77,0.15,6.8,0,10.724
1,42,0.111,6.8,0,6.722
1,38,0.116,7.7,3,8.437
1,37,0.2,7.7,5,2.256
1,53,0.227,7.7,1,6.340
1,38,0.25,7.7,1,8.283
1,42,0.283,7.7,0,6.722
0,41,0.205,7.7,3,9.428
0,41,0.205,7.7,3,6.958
0,41,0.116,7.7,5,6.605
1,79,0.205,7.7,3,4.386
1,107,0.205,7.7,4,3.479
0,54,0.052,7.7,66,2.118
1,74,0.205,7.7,8,4.991
1,81,0.205,7.7,3,6.806
1,48,0.205,7.7,7,4.689
1,71,0.205,7.7,2,5.143
1,68,0.205,7.7,2,5.798
0,47,0.205,7.7,3,9.529
0,42,0.205,7.7,2,11.848
0,34,0.205,7.7,1,11.596
0,60,0.205,7.7,3,17.444
0,31,0.205,7.7,1,18.806
0,53,0.205,7.7,2,10.235
1,56,0.205,7.7,2,2.723
1,63,0.205,7.7,2,3.731
1,64,0.205,7.7,2,2.823
1,49,0.205,7.7,2,4.084
0,55,0.205,7.7,2,11.848
0,77,0.205,7.7,4,11.344
0,46,0.205,7.7,0,13.058
0,45,0.268,6.9,36,6.101
0,50,0.09,6.22,64,0.939
0,54,0.133,6.22,30,3.940
0,42,0.156,6.54,12,15.308
0,50,0.15,6.54,18,1.174
0,56,0.13,6.54,25,6.385
0,32,0.16,6.54,31,1.863
0,50,0.2,6.54,64,0.939
0,38,0.18,6.54,30,5.991
0,20,0.19,6.54,80,1.398
0,45,0.19,6.54,18,6.722
1,54,0.206,6.54,30,3.940
0,91,0.24,6.93,7,22.864
1,92,0.37,6.93,8,4.895
0,35,0.28,6.93,5,13.688
0,64,0.14,6.93,30,2.180
1,65,0.28,6.93,3,9.320
1,55,0.28,6.93,3,9.276
1,64,0.28,6.93,3,10.498
0,35,0.28,6.93,1,14.817
0,47,0.28,6.93,1,9.769
0,48,0.28,6.93,5,13.560
0,48,0.28,6.93,4,7.411
1,101,0.39,6.93,32,4.110
1,108,0.39,6.93,13,9.885
1,95,0.39,6.93,25,4.703
0,105,0.39,6.93,20,8.934
1,89,0.28,6.93,3,8.293
1,73,0.18,6.93,50,1.951
1,43,0.28,6.93,2,10.885
0,73,0.28,6.93,5,24.474
1,86,0.27,6.93,8,4.541
1,46,0.28,6.93,1,5.325
1,67,0.28,6.93,1,10.752
1,67,0.16,6.93,20,2.933
1,25,0.28,6.93,35,3.587
0,68,0.25,7.7,19,11.950
1,90,0.25,7.7,19,6.239
1,68,0.4,7.6,2,9.151
0,118,0.4,7.6,0,17.241
1,47,0.47,7.6,5,11.455
1,143,0.84,6.69,50,5.305
0,101,0.51,6.69,25,13.908
1,88,0.43,6.69,64,3.350
1,105,0.51,6.69,33,5.130
0,103,0.4,6.9,15,19.915
0,54,0.4,6.9,1,18.453
1,116,0.35,6.9,1,3.075
0,72,0.4,6.9,21,8.974
1,60,0.4,6.9,0,5.495
1,65,0.5,6.9,0,12.151
1,64,0.5,6.9,2,6.151
0,107,0.6,6.9,9,13.814
1,62,0.5,6.9,5,4.285
0,72,0.5,6.9,14,12.453
1,74,0.5,6.9,15,6.403
0,69,0.5,6.9,19,10.235
1,82,0.5,6.9,5,9.680
0,60,0.6,6.9,5,12.604
1,43,0.5,6.9,5,10.638
0,171,0.7,6.9,0,21.478
0,124,0.6,6.9,10,10.739
0,44,0.6,6.9,0,16.890
0,79,0.6,6.9,6,19.461
0,72,0.6,6.9,10,12.100
1,51,0.5,6.9,0,12.403
0,50,0.7,6.9,3,18.049
0,37,0.6,6.9,0,18.654
0,29,0.6,6.9,10,20.570
1,44,0.4,6.9,8,10.638
1,49,0.4,6.9,0,9.025
0,78,0.6,6.9,10,20.217
0,41,0.5,6.9,6,14.671
0,83,0.5,6.9,50,14.066
1,73,0.4,6.9,9,12.201
1,55,0.5,6.9,6,9.529
0,36,0.6,6.9,3,15.932
1,79,0.35,6.9,0,9.731
1,94,0.5,6.9,5,9.630
0,59,0.6,6.9,0,20.016
1,50,0.4,6.9,0,7.563
1,46,0.4,6.9,10,6.101
1,55,0.35,6.9,20,7.663
1,43,0.4,6.9,5,4.185
0,80,0.4,6.9,18,8.960
1,115,0.4,6.9,2,5.912
1,96,0.34,6.9,20,3.973
0,125,0.4,6.9,20,13.264
0,140,0.4,6.9,20,11.394
0,135,0.4,6.9,20,20.218
1,123,0.34,6.9,20,6.311
1,107,0.4,6.9,25,11.952
1,146,0.34,6.9,20,7.187
1,46,0.25,6.9,20,6.719
1,70.364,0.19,7.6,61.2,1.265
1,64.386,0.19,7.6,25.3,4.583
1,34.653,0.19,7.6,18,2.465
1,52.254,0.19,7.6,49,1.816
0,52.842,0.19,7.6,9,2.194
0,73.206,0.19,7.6,8,4.454
0,72.442,0.19,7.6,33,1.215
0,42.218,0.19,7.6,27,1.375
0,65.399,0.19,7.6,55,1.077
0,324.65,0.19,7.6,11,14.503
0,132.91936,0.19,7.6,24,4.799
1,30.178,0.19,7.6,47,1.110
1,18.9532,0.19,7.6,7,1.259
1,58.1924,0.19,7.6,57,1.942
1,36.6128,0.19,7.6,19,1.863
0,29.4784,0.19,7.6,38,1.215
1,60.87107,0.19,7.6,31,1.486
1,44.1784,0.19,7.6,15,3.429
1,33.6767,0.19,7.6,59,1.330
0,103.2136,0.19,7.6,15,2.219
0,84.721,0.19,7.6,18,5.992
1,79.03896,0.19,7.6,53,1.395
1,66.052,0.21,7.6,35,1.735
1,91.19292,0.19,7.6,15,8.062
1,38.9648,0.19,7.6,36,1.511
1,39.004,0.19,7.6,38,2.123
1,47.5496,0.19,7.6,30,1.699
1,41.8656,0.428,7.6,55,0.682
1,70.17584,0.428,7.6,47,2.220
1,88.6459,0.428,7.6,54,2.352
1,81.5997,0.428,7.6,22,8.153
1,97.2258,0.428,7.6,18,3.153
1,98.83,0.428,7.6,25,16.363
1,36.0402,0.428,7.6,22,2.795
1,119.81,0.428,7.6,21,4.865
0,121.8414,0.428,7.6,63,5.052
1,53.41,0.428,7.6,24,2.168
0,96.0449,0.428,7.6,55,4.439
1,81.05907,0.428,7.6,35,1.660
1,68.4138,0.428,7.6,30,3.919
1,33.2612,0.789,7.6,10,11.119
1,194.3572,0.789,7.6,51,8.548
0,22.932,0.789,7.6,76,1.051
1,24.108,0.789,7.6,55,1.037
1,69.0655,0.789,7.6,20,7.012
0,16.66,0.789,7.6,65,0.499
1,89.0428,0.789,7.6,15,4.504
1,51.2834,0.789,7.6,69,2.420
1,37.8035,0.789,7.6,45,2.617
1,168.221,0.789,7.6,43,10.124
1,20.1096,0.789,7.6,30,0.960
1,22.5792,0.789,7.6,21,5.353
1,53,0.789,7.6,14,6.554
1,49,0.162,7.6,3,3.980
1,40,0.162,7.6,5,3.000
0,61,0.162,7.6,5,12.400
1,35.3,0.16,7.5,2.5,3.140
1,51,0.16,7.5,2.5,1.570
1,56.9,0.16,7.5,2.5,7.060
1,81.4,0.16,7.5,2.5,5.490
1,61.8,0.16,7.5,2.5,5.340
1,78.5,0.16,7.5,2.5,7.800
1,117.1,0.16,7.5,2.5,9.510
0,45.1,0.16,7.5,2.5,7.850
0,49,0.16,7.5,2.5,14.270
1,50,0.6,7.2,18,2.000
1,24,0.3,7.2,16,0.800
1,166.1,0.5,6.4,62,6.370
1,182.6,0.5,6.4,50,6.860
0,212.5,0.5,6.4,18,11.770
0,218.5,0.5,6.4,52,19.320
0,227.5,0.5,6.4,68,21.570
1,119.7,0.5,6.4,64,3.140
1,138.9,0.5,6.4,71,0.690
0,154.2,0.5,6.4,49,1.770
0,161.7,0.5,6.4,38,9.810
0,170.7,0.5,6.4,49,8.730
0,182.7,0.5,6.4,56,5.390
0,202.1,0.5,6.4,51,9.320
1,86.8,0.5,6.4,74,0.690
0,131.7,0.5,6.4,61,7.060
0,146.7,0.5,6.4,46,10.790
0,152.7,0.5,6.4,52,13.730
0,178.2,0.5,6.4,56,8.830
0,190.2,0.5,6.4,47,6.860
1,95.8,0.5,6.4,52,1.960
1,103.3,0.5,6.4,65,0.690
0,146.7,0.5,6.4,52,0.690
0,155.7,0.5,6.4,55,1.960
0,166.2,0.5,6.4,38,4.900
0,175.2,0.5,6.4,54,9.810
0,190.2,0.5,6.4,64,15.690
1,119.7,0.5,6.4,61,1.960
1,130.2,0.5,6.4,43,1.960
0,154.2,0.5,6.4,25,20.600
1,50,0.15,7.3,72,0.650
1,41.2,0.15,7.3,42,0.530
1,80.9,0.15,7.3,61,1.200
1,85,0.64,7.6,5,6.400
0,49,0.64,7.6,4,12.000
1,36,0.64,7.6,6,7.600
1,55,0.64,7.6,41,4.200
1,72,0.64,7.6,3,10.000
0,50,0.64,7.6,10,8.500
1,57,0.64,7.6,4,6.000
1,24,0.61,7.6,9,3.800
1,60,0.58,7.6,5,11.300
0,89,0.26,7.6,2,15.500
1,39,0.25,7.6,5,4.100
0,58,0.25,7.6,5,10.000
1,27,0.25,7.6,5,4.500
0,78,0.2,7.6,2,14.180
1,48,0.18,7.6,5,3.300
0,86,0.16,7.6,2,6.600
1,38,0.12,7.6,75,1.800
1,20,0.12,7.6,75,1.380
1,38,0.12,7.6,75,0.970
1,41.2,0.4,7.8,13,1.670
1,67.7,0.4,7.8,13,9.220
1,83.4,0.4,7.8,13,5.590
1,90.2,0.4,7.8,13,7.450
1,16.7,0.4,7.8,13,1.470
1,20.6,0.4,7.8,13,0.980
1,24.5,0.4,7.8,13,4.900
1,33.3,0.4,7.8,13,2.450
1,42.2,0.4,7.8,13,2.550
1,51,0.4,7.8,13,3.140
1,56.9,0.4,7.8,13,5.690
1,72.6,0.4,7.8,13,3.430
1,100,0.4,7.8,13,8.240
1,28.4,0.4,7.8,13,1.670
1,28.4,0.4,7.8,13,3.430
1,34.3,0.4,7.8,13,4.020
1,26.5,0.4,7.8,13,5.390
1,39.2,0.4,7.8,13,8.830
1,20.6,0.4,7.8,13,6.860
1,25.5,0.4,7.8,13,1.160
1,32.4,0.4,7.8,13,4.160
0,69.6,0.4,7.8,13,11.250
0,108.9,0.4,7.8,13,15.460
0,54.9,0.2,7.8,13,11.170
0,63.7,0.2,7.8,13,11.890
0,73.5,0.2,7.8,13,17.420
1,76.5,0.2,7.8,13,1.620
1,81.4,0.2,7.8,13,3.580
1,24.5,0.2,7.8,13,1.010
1,36.3,0.2,7.8,13,4.900
1,46.1,0.2,7.8,13,2.850
1,59.8,0.2,7.8,13,5.940
0,21.6,0.2,7.8,13,12.980
0,25.5,0.2,7.8,13,12.810
0,29.4,0.2,7.8,13,16.270
0,57.9,0.2,7.8,13,10.390
0,59.8,0.2,7.8,13,8.940
0,65.7,0.2,7.8,13,11.070
1,40.2,0.2,7.8,13,1.900
1,43.1,0.2,7.8,13,4.900
1,46.1,0.2,7.8,13,2.200
1,48.1,0.2,7.8,13,2.600
1,34.3,0.2,7.8,13,4.310
1,38.2,0.2,7.8,13,2.940
1,79.4,0.2,7.8,13,8.830
1,53.9,0.1,7.8,13,1.960
1,51,0.2,7.8,13,1.080
0,103.9,0.1,7.8,13,15.200
0,107.9,0.1,7.8,13,6.370
0,52,0.1,7.8,13,8.830
0,56.9,0.1,7.8,13,2.450
0,61.8,0.1,7.8,13,16.180
0,66.7,0.1,7.8,13,13.390
0,77.5,0.1,7.8,13,13.850
0,100,0.1,7.8,13,18.570
1,43.1,0.2,7.8,13,3.450
1,50,0.2,7.8,13,2.680
1,49,0.2,7.8,13,3.230
1,51,0.2,7.8,13,4.040
1,55.9,0.2,7.8,13,2.880
1,51,0.2,7.8,13,2.940
1,66.7,0.2,7.8,13,5.740
1,77.6,0.2,7.8,13,8.830
1,47.1,0.2,7.8,13,1.840
1,62.8,0.2,7.8,13,2.500
1,63.7,0.2,7.8,13,4.410
1,77.5,0.2,7.8,13,4.160
0,75.5,0.2,7.8,13,7.850
0,57.2,0.2,7.8,13,8.310
0,110.6,0.2,7.8,13,4.460
0,120.4,0.2,7.8,13,5.680
1,54.3,0.2,7.8,13,2.430
